Date,Number_of_downloads,Number_of_successful_scans,Number_of_failed_scans,Number_of_content_play_sessions_in_app,Number_of_unique_devices_in_app,Total_timespent_on_app_in_hours,Average_timespent_per_app_session_in_minutes,Average_timespent_per_device_on_app_in_minutes,Number_of_content_play_session_in_portal,total_timespent_on_portal_in_hours,Average_timespent_per_portal_session_in_minutes
2018-12-01,10157,9272,5101,8936,2505,287,1.92,6.86,637,17,1.63
2018-12-02,8984,9857,6324,8663,2362,286,1.98,7.25,634,16,1.50
2018-12-03,11275,11877,6828,10617,3065,387,2.19,7.57,674,19,1.67
2018-12-04,12752,12783,6998,11225,3357,422,2.26,7.55,780,19,1.44
2018-12-05,13606,13000,7016,11925,3480,414,2.08,7.13,695,19,1.63
2018-12-06,13036,11326,6066,11845,3331,412,2.09,7.42,609,14,1.39
2018-12-07,12373,9862,4904,11395,3319,401,2.11,7.24,464,12,1.49
2018-12-08,10256,8924,4947,9116,2746,307,2.02,6.71,537,12,1.38
2018-12-09,11373,10296,6289,9657,2801,296,1.84,6.34,650,14,1.30
2018-12-10,14917,11773,6276,11905,3578,432,2.18,7.24,816,16,1.18
2018-12-11,13713,12100,6556,12352,3629,449,2.18,7.42,914,20,1.3
2018-12-12,14451,12658,6592,13275,3771,482,2.18,7.66,851,17,1.17
2018-12-13,12786,10930,6060,11641,3366,437,2.25,7.78,724,16,1.32
2018-12-14,13268,11965,5949,12499,3547,455,2.19,7.7,821,21,1.55
2018-12-15,10436,9835,5156,9803,2807,311,1.9,6.64,698,15,1.29
2018-12-16,10536,9770,6149,9454,2619,296,1.88,6.79,783,15,1.14
2018-12-17,11954,10881,5760,11206,3311,415,2.22,7.52,683,18,1.6
2018-12-18,12561,11181,5564,12182,3347,442,2.18,7.92,705,15,1.26